குமரேச சதகம் சொல்லடைவு
இடுக்கணே - 42.3 
இடுதலாலும் - 98.1 
இடுபூசையும் - 95.1 
இடும்பால் - 49.3 
இடைமுத்தை - 100.1 
இடையூறு - 57.3 
இணங்குதலும் - 86.2 
இணை - 2.2 
இதம்இலா - 35.3 
இதழ் - 58.3 
இது - 95.3 
இதுஅல்லாது - 76.1 
இதுகாண் - 5.4; 6.4 
இந்த - 63.2; 77.4 
இந்துகாணாத - 31.1 
இம் - 33.3 
இயல் - 89.1 
இயன்றன - 81.3 
இரக்க - 35.3 
இரக்கம்ஏது - 82.3 
இரக்கமில்லை - 12.3 
இரங்கி - 99.3 
இரட்சிப்பர் - 99.3 
இரண்டு - 21.1 
இரண்டுவிசை - 21.1,1 
இரணியன் - 49.1 
இரதத்திலும் - 37.3 
இரவிகாணா - 31.1 
இரவிபோம் - 50.2 
இரவினில் - 67.2 
இரவுஆகும் - 75.3 
இரவுபோய் - 75.3 
இராஇவைகள் - 84.3 
இராகுவோ - 22.2 
இராச்சியம் - 11.1 
இராசாளிமெய் - 87.3 
இராத்தயிரில் - 38.3 
இராவணன் - 49.1 
இருக்க - 25.4; 46.1; 97.2 
இருக்கமிகு - 97.2 
இருக்கவே - 30.3; 88.1; 97.1 
இருக்கவேண்டும் - 88.2 
இருக்கின்ற - 52.2,2; 72.2; 85.2 
இருக்கினும் - 55.1 
இருக்கும் - 9.1,1,1,2,2; 70.3 
இருகூறு - 3.2 
இருதலையும் - 63.3 
இருதுடைசர்ப்பம்ஆம் - 58.2 
இருந்தபதர் - 30.2 
இருந்தபேரும் - 97.3 
இருந்தாலும் - 85.1 
இருந்திட - 87.1 
இருந்துஎன்பயன் - 23.4 
இருந்துஎன்ன - 29.2,3 
இருந்துகொண்டு - 93.3 
இருந்தும் - 89.1,1,1 
இருந்தும்மிகவே - 89.1 
இருந்துவாழ்ந்து - 73.1 
இருப்பதனில் - 83.3 
இருப்பதனின் - 83.3 
இருப்பது - 52.3 
இருப்பவர் - 9.1 
இருப்பள் - 37.4 
இருப்பள்என்பர் - 38.4 
இரும்பில்துருத்தான் - 92.2 
இரும்புகளை - 93.1 
இருள்சிதைக்கும் - 81.2 
இருளாய்விடும் - 75.2 
இரைவேறு - 22.2 
இல்லா - 83.1 
இல்லாத - 29.4; 83.2 
இல்லாதபெண் - 29.2 
இல்லாதவட்கு - 65.1 
இல்லாதவர்க்கு - 65.2; 82.2 
இல்லாமல் - 101.2 
இல்லாமல்ஊர் - 93.3 
இல்லாமல்எ - 65.1 
இல்லாமல்வெகு - 65.3 
இல்லாமையால் - 32.2 
இல்லாளை - 52.2 
இல்லை - 22.1; 47.2; 67.3; 73.1; 76.2; 92.3 
இல்லைஅவர் - 73.1 
இல்லைஎன்று - 81.3 
இல்லைவரு - 12.3 
இல்வாழ்க்கைஇல்லை - 65.4 
இலக்கணம் - 13.2 
இலக்கியம் - 13.2 
இலாதசபை - 23.4 
இலாதமரமாம் - 42.1 
இலாதவஞ்சனைசெய்த - 44.3 
இலாதவர் - 82.2 
இலாதவர்க்கு - 82.3 
இலாதவர்கள் - 28.2 
இலாதவருக்கு - 82.1 
இலாநாடு - 23.1 
இலாபம்ஏது - 82.1 
இலாமல் - 65.3 
இலாமலே - 22.2 
இலாமனைக்கு - 65.4 
இலாவீரம் - 23.3 
இலைஊறலால் - 32.2 
இலைவேல் - 38.3 
இவ்உலகத்தின் - 4.4; 16.4; 102.4 
இவ்உலகை - 101.4 
இவ்வளவு - 66.3 
இவர் - 76.3 
இவர்எலாம் - 34.4 
இவர்கள் - 20.4 
இவர்கள்கிளை - 64.2 
இவர்களது - 49.3 
இவரை - 8.3 
இவரையே - 90.3 
இவை - 21.3; 86.3 
இவைஎலாம் - 31.4; 87.4; 101.3 
இவையெலாம் - 51.3 
இழியும்மதுபானர் - 38.3 
இழிவுறு - 35.3 
இளமைதனில் - 67.3 
இளமையாம் - 31.4 
இளவெயில் - 32.3 
இளைக்கில்உயிர் - 50.3 
இளைக்கும்அது - 50.3 
இளைப்புவருமோ - 86.3 
இளைய - 47.1 
இளையஒரு - 21.2 
இளையமுருகா - 86.4 
இளையோர்கள் - 100.3 
இறுமாந்து - 25.1 
இறைத்திட்ட - 95.3 
இன்சொல் - 2.4 
இன்சொல்காணா - 31.1 
இன்சொலால் - 54.1 
இன்சொலுடனே - 99.3 
இன்பமிகு - 80.2 
இன்புபலம் - 27.4 
இன்மை - 5.3 
இன்னவை - 88.3 
இன்னும்வெகு - 73.2 
இனம் - 67.3 
இனம்துர்மலத்தை - 85.2 
இனிதென்று - 62.3 
இனிய - 2.3; 63.1; 96.4 
இனியகண் - 22.2 
இனியகோன் - 80.2 
இனியசரவணமிசையில் - 24.4 
இனியசீடன் - 60.3 
இனியசொற்கு - 88.1 
இனியதம் - 99.3 
இனியதயை - 9.3 
இனியபரிதானத்தில் - 25.3 
இனியபொருள் - 11.3 
ஈக்கள் - 94.1 
ஈக்கிடந்து - 80.2 
ஈசன் - 22.2 
ஈசனை - 42.4 
ஈசுர - 66.2 
ஈடழிப்பர் - 93.3 
ஈடாகுமோ - 55.1 
ஈதலாலும் - 98.2 
ஈந்தபேரும் - 97.2 
ஈந்திடார் - 6.2 
ஈயாத - 28.3 
ஈர்ஐம் - 88.1 
ஈரம்இல்லா - 38.3 
ஈவரோ - 36.4 
ஈவார் - 36.2 
உகந்த - 21.4 
உகந்தகணவா - 57.4 
உகந்ததுணைவா - 47.4 
உகந்துகூத்து - 41.2 
உகந்துகூவும் - 71.3 
உகந்துகொள்வார் - 85.3 
உகந்துபுல்லை - 2.4 
உசிதம் - 12.3 
உசிதமானதில் - 6.3 
உடல்கீண்டவா - 99.4 
உடல்குளிர - 61.4 
உடல்பாதி - 63.3 
உடலில் - 61.1 
உடலைநம்பி - 73.2 
உடனே - 92.1 
உடனேகலையும் - 75.2 
உடனேவரும் - 80.1 
உடுத்ததுகில் - 58.1 
உடைந்தாலும் - 68.1 
உடைமையும் - 53.3 
உடையோரை - 14.1 
உண்கையாலும் - 98.1 
உண்டபின் - 21.3; 32.2 
உண்டாக்கலாம் - 41.2 
உண்டாக்குவிப்பார் - 4.2; 16.2; 102.2 
உண்டாம் - 69.3 
உண்டானால் - 69.1 
உண்டி - 23.3 
உண்டிட - 46.1 
உண்டிடார்க்கு - 82.2 
உண்டுஎன்று - 52.3 
உண்டுஒருவர் - 57.1,2 
உண்டுகண்டாய் - 57.3 
உண்டோ - 3.3; 35.4 
உண்ணலால் - 32.1,4 
உண்பார்கைக்குள் - 53.3 
உண்போர் - 34.1 
உண்மை - 82.2 
உண்மைஇல்லாத - 23.3 
உண்மைமொழி - 25.2; 60.2 
உணர்ந்திடுகல்வியும் - 51.2 
உணர்ந்து - 47.2 
உணர்ந்தேதனது - 60.1 
உணர்விலா - 41.2 
உதயம் - 50.2 
உதவல்நன்று - 54.2 
உதவவேண்டும் - 52.1 
உதவாது - 52.3; 83.3 
உதவிஇல்லாத - 23.3 
உதவிசெய் - 96.3 
உதவிசெய்யாத - 28.1 
உதவிசெய்யும் - 35.3 
உதவிசெய்வன் - 81.1 
உதவிசெயும் - 35.3 
உதவியாய் - 20.3; 93.1 
உதவியும் - 3.3 
உதவுகாலம் - 59.3 
உதவுசிறு - 8.4 
உதவுதலைவா - 94.4 
உதவுவார் - 71.2 
உதவுவோரும் - 97.1 
உதாரசற்குணம்உடைய - 18.1 
உதாரிதான் - 81.3 
உதித்தகுற - 21.4 
உதிப்பது - 70.1 
உதிப்பினும் - 17.1 
உதியஆகியசெய்தி - 13.1 
உதைத்தசிலை - 87.2 
உப்பு - 17.3 
உபகாரம் - 29.4; 35.4 
உபகாரம்ஆம் - 33.1 
உபகாரமாம் - 18.3 
உபகாரமும் - 51.3 
உபசரித்திடும்காலம் - 59.2 
உபசரித்து - 74.1 
உபசாரம் - 83.1 
உபதேசம் - 17.4 
உபயோகம்ஆம் - 35.1 
உபாயத்தினால்பெரும் - 41.2 
உம்பர் - 22.4 
உம்மை - 77.1 
உமியினால் - 32.2 
உய்குவோர் - 34.2 
உயர் - 59.1; 89.1 
உயர்ச்சிதரும் - 69.3 
உயர்சாதி - 10.3 
உயர்வெள் - 64.1 
உயர்வேதமே - 27.1 
உயர - 48.1; 87.2 
உயிர் - 68.1 
உயிர்பெற - 41.2 
உயிர்போகினும் - 101.2 
உயிர்போகும் - 68.3 
உயிருடன் - 34.4; 79.3 
உயிரும்சிறக்கும் - 50.3 
உரமருவு - 24.3 
உரிஞ்சிடுமலம் - 35.1 
உருஇலா - 23.3 
உருக்குநெய் - 21.2 
உருள்வண்டு - 85.2 
உரைத்த - 25.2 
உரைத்தகுருவே - 44.4 
உரைத்தபேயும் - 25.3 
உரைத்தாலும் - 43.1 
உரைத்திடாமல் - 63.2 
உரைப்பர் - 101.3 
உரைப்போர் - 64.1 
உரையாது - 81.3 
உலகபரி - 13.1 
உலகம் - 79.3 
உலகமொழி - 93.3 
உலகில்உனை - 3.3 
உலர்ந்திடலும் - 86.3 
உலவு - 87.2 
உலவுகன - 39.3 
உலவுநல் - 93.3 
உலாவல் - 21.3 
உவணன் - 22.1 
உவந்துஓசை - 88.3 
உழல்வர் - 64.2 
உழன்ற - 25.2 
உழுதுபுவிகாக்கும் - 35.2 
உள்அன்பு - 28.2 
உள்கருதியே - 94.2 
உள்பகையும் - 24.1 
உள்ள - 10.3 
உள்ளத்தையும் - 66.3 
உள்ளவர் - 9.3,3,4 
உள்ளவர்க்குஎலாம் - 15.2 
உள்ளியின் - 39.3 
உள்ளோர்க்குஎலாம் - 15.3 
உளவன் - 93.3 
உளோர் - 6.2; 24.3; 51.2 
உளோர்தமக்கு - 11.1 
உற்ற - 3.3 
உற்றசிவபக்தர் - 10.3 
உற்றதிரவியம் - 24.3 
உற்றதுஎன்ன - 46.2 
உற்றதுஓர் - 75.1 
உற்றதுயர் - 8.2 
உற்றதுறையில் - 88.2 
உற்றநாள் - 74.2 
உற்றபெரியோர் - 34.2 
உற்றார் - 97.1 
உற்றாரை - 93.3 
உற்றாலும் - 65.2; 68.2; 85.2 
உற்றும் - 29.3 
உற்றும்என்ன - 92.1 
உற்றுவரல் - 88.3 
உறங்கிடும் - 22.1 
உறவின்முறையார் - 10.3 
உறவின்முறையார்கள் - 24.3 
உறவினில் - 54.2 
உறவு - 82.1 
உறவுஇல்லை - 12.1 
உறவும் - 84.3 
உறவேது - 82.1 
உறின்பெருமை - 100.2 
உறுகுயில் - 71.3 
உறுசெல்வமும் - 18.3 
உறுதருவின் - 18.1 
உறுதிஊண் - 78.2 
உறுதிதீரம் - 78.2 
உறுதிதேடல் - 78.2 
உறுதிபெண் - 78.2 
உறுதிபெறு - 79.3 
உறுதிமொழி - 60.3 
உறுதியாகமுன் - 51.2 
உறுதியாய் - 74.2 
உறுதியான - 5.3 
உறுதிவேழம் - 78.3 
உறுபுகையில் - 38.1 
உறுபுனல்கொள் - 75.1 
உறுமுதலை - 72.1 
உறுவதுஒரு - 82.2 
உறையும்ஊர் - 64.1 
உன் - 77.2 
உன்மீது - 11.4 
உனதுஅடைக்கலம் - 68.4 
ஊட்டமிகு - 74.2 
ஊட்டுதற்கு - 80.2 
ஊடாடி - 87.2 
ஊடுகன - 6.4 
ஊர் - 82.2 
ஊர்க்குருவி - 48.1 
ஊரில்உள்ளோருடன் - 24.2 
ஊருணியின் - 18.1 
ஊற்றுநீர் - 81.1 
எக்கனி - 85.1 
எக்காலும் - 85.2 
எங்கிருந்தாலும் - 70.3 
எங்கே - 70.1,1,1,1,2,2,2 
எங்கேஎன்று - 85.3,3 
எங்கேமுகம் - 70.2 
எங்கேயிருந்தாலும் - 70.3 
எச்சிற்குழி - 58.3 
எடுத்தலால் - 32.3 
எடுத்தவன் - 8.1 
எடுத்தால் - 76.1 
எடுத்தும் - 90.1 
எண்ண - 63.2 
எண்ணத்தினால் - 46.3 
எண்ணமும் - 49.3 
எண்ணாத - 13.2; 15.1 
எண்ணாதகாலம் - 59.1 
எண்ணாது - 25.3 
எண்ணார்கள் - 73.3 
எண்ணாள் - 79.1 
எண்ணினோர் - 20.2 
எத்தன - 46.3 
எத்தனை - 65.1,2,4; 85.2 
எத்தனைமலர்கள் - 65.3 
எதிர்பண்ணி - 42.2 
எதிர்பேசி - 44.1 
எதிராளி - 15.1; 82.3 
எந்நாளும் - 33.2 
எப்போதும் - 64.3 
எய்தலின் - 83.1 
எரித்த - 95.2 
எரித்துஅருள் - 49.4 
எருக்குடன் - 64.1 
எல்லாம் - 18.2; 29.2; 69.1; 94.1 
எல்லாம்தருண - 52.3 
எல்லோரும் - 73.1 
எலாம் - 5.2; 7.1; 11.3; 29.3; 93.1 
எலாம்கொடுப்பார் - 6.2 
எவ்வளவு - 21.3 
எவர்க்கும் - 69.1 
எவருக்கும் - 29.4; 67.3; 99.3 
எழிலும் - 49.3 
எழுகடலும் - 76.4 
எழுத்துஅசைகள் - 88.1 
எழுத்துஅதிக - 58.2 
எழுதி - 52.1 
எழுப்பலாம் - 41.3 
எழுபிறப்பும் - 64.2 
எழும்பிடின் - 87.2 
எள்அளவு - 63.2 
எளியவரை - 42.2 
என்ஆம் - 100.1 
என்சென்னி - 91.2 
என்பதைவரும் - 56.2 
என்பர்கண்டாய் - 67.3; 89.3; 95.3 
என்பர்காண் - 21.3; 53.3 
என்பார் - 64.3 
என்புஅளித்தான் - 99.2 
என்ற - 68.4 
என்று - 2.2; 42.1; 52.1,2; 59.2; 64.3; 76.1 
என்றுஅவ - 76.1 
என்றுஉளம் - 8.3 
என்றுஒருகணை - 87.1 
என்றுஒளவை - 72.3 
என்றுசிறுபெண் - 2.1 
என்றுசொலலாம் - 41.3 
என்றுதிரு - 90.1 
என்றுநல் - 96.2 
என்றுபொய் - 62.1 
என்றும் - 63.1 
என்றும்ஒரு - 46.3 
என்றுமுசிதான் - 12.3 
என்றே - 5.2 
என்ன - 28.3,3; 29.2,3; 70.2; 91.2 
என்னஉடல் - 91.3 
என்னகாண் - 46.3 
